id_day,date,description,death_date,description_lower
1,2024-06-02,"Os santos mártires Marcelino , presbítero, e Pedro , exorcista, de quem o papa São Dâmaso conta que, durante a perseguição do imperador Diocleciano, condenados à morte e conduzidos ao lugar do suplício no meio da floresta, foram obrigados a cavar com as próprias mãos a sua sepultura, para que os corpos ficassem ocultos a toda a gente; mas uma piedosa mulher, chamada Lucina, inumou dignamente os seus santos corpos em Roma, junto à Via Labicana, no cemitério “ad Duas Lauros”.",(† c. 304),"os santos mártires marcelino , presbítero, e pedro , exorcista, de quem o papa são dâmaso conta que, durante a perseguição do imperador diocleciano, condenados à morte e conduzidos ao lugar do suplício no meio da floresta, foram obrigados a cavar com as próprias mãos a sua sepultura, para que os corpos ficassem ocultos a toda a gente; mas uma piedosa mulher, chamada lucina, inumou dignamente os seus santos corpos em roma, junto à via labicana, no cemitério “ad duas lauros”."
2,2024-06-02,"Em Lião, na Gália, actualmente na França, os santos mártires Potino , bispo, e Blandina , com quarenta e seis companheiros [1] , cujos valorosos e repetidos combates, durante a perseguição do imperador Marco Aurélio, foram referidos na carta que a Igreja de Lião enviou à Igreja da Ásia e da Frígia. Entre eles, Potino, bispo nonagenário, expirou pouco tempo depois de ser encarcerado; dos outros cristãos condenados, uns morreram também no cárcere, outros foram reunidos no meio da arena para espectáculo de milhares de pessoas; os que tinham sido identificados como cidadãos romanos pereceram decapitados e os restantes expostos às feras. Finalmente, Blandina, suportando prolongados e cruéis tormentos, foi degolada, seguindo os passos daqueles a quem antes exortava a alcançar a palma do martírio. [1] São estes os seus nomes: Zacarias presbítero, Vécio Epagato, Macário, Asclibíades, Silvio, Primo, Úlpio, Vital, Comino, Outubro, Filomeno, Gémino, Júlia, Albina, Grata, Emília, Potâmia, Pompeia, Ródana, Bíblis, Quárcia, Materna, Hélpis; Santo, diácono; Maturo, neófito; Átalo, natural de Pérgamo; Alexandre, natural da Frígia; Pôntico, Isto, Aristeu, Cornélio, Zósimo, Tito, Júlio, Zótico, Apolónio, Geminiano, outra Júlia, Ausona, outra Emília, Jámnica, outra Pompeia, Dona, Justa, Trófima, Antónia.",(† 177),"em lião, na gália, actualmente na frança, os santos mártires potino , bispo, e blandina , com quarenta e seis companheiros [1] , cujos valorosos e repetidos combates, durante a perseguição do imperador marco aurélio, foram referidos na carta que a igreja de lião enviou à igreja da ásia e da frígia. entre eles, potino, bispo nonagenário, expirou pouco tempo depois de ser encarcerado; dos outros cristãos condenados, uns morreram também no cárcere, outros foram reunidos no meio da arena para espectáculo de milhares de pessoas; os que tinham sido identificados como cidadãos romanos pereceram decapitados e os restantes expostos às feras. finalmente, blandina, suportando prolongados e cruéis tormentos, foi degolada, seguindo os passos daqueles a quem antes exortava a alcançar a palma do martírio. [1] são estes os seus nomes: zacarias presbítero, vécio epagato, macário, asclibíades, silvio, primo, úlpio, vital, comino, outubro, filomeno, gémino, júlia, albina, grata, emília, potâmia, pompeia, ródana, bíblis, quárcia, materna, hélpis; santo, diácono; maturo, neófito; átalo, natural de pérgamo; alexandre, natural da frígia; pôntico, isto, aristeu, cornélio, zósimo, tito, júlio, zótico, apolónio, geminiano, outra júlia, ausona, outra emília, jámnica, outra pompeia, dona, justa, trófima, antónia."
3,2024-06-02,"Em Fórmia, região da Itália, Santo Erasmo , bispo e mártir.",(† c. 303),"em fórmia, região da itália, santo erasmo , bispo e mártir."
4,2024-06-02,"Em Roma, junto de São Pedro, Santo Eugénio I , papa, que sucedeu a São Martinho, mártir.",(† 657),"em roma, junto de são pedro, santo eugénio i , papa, que sucedeu a são martinho, mártir."
5,2024-06-02,"Junto ao Bósforo, na Propôntide, actualmente na Turquia, o passamento de São Nicéforo , bispo de Constantinopla, acérrimo defensor das tradições paternas, que se opôs tenazmente ao imperador iconoclasta Leão o Arménio, em favor do culto das imagens sagradas; expulso da sede episcopal, foi afastado por longo tempo para um mosteiro, de onde partiu serenamente ao encontro do Senhor.",(† 629),"junto ao bósforo, na propôntide, actualmente na turquia, o passamento de são nicéforo , bispo de constantinopla, acérrimo defensor das tradições paternas, que se opôs tenazmente ao imperador iconoclasta leão o arménio, em favor do culto das imagens sagradas; expulso da sede episcopal, foi afastado por longo tempo para um mosteiro, de onde partiu serenamente ao encontro do senhor."
6,2024-06-02,"Em Ácqui, no Piemonte, região da Itália, São Guido , bispo.",(† 1070),"em ácqui, no piemonte, região da itália, são guido , bispo."
7,2024-06-02,"Em Tráni, na Apúlia, também região da Itália, São Nicolau , peregrino, natural da Grécia, que percorria esta região levando na mão uma cruz e repetindo sem cessar: «Kyrie eléison».",(† 1094),"em tráni, na apúlia, também região da itália, são nicolau , peregrino, natural da grécia, que percorria esta região levando na mão uma cruz e repetindo sem cessar: «kyrie eléison»."
8,2024-06-02,"Em Sandomierz, junto ao rio Vístula, na Polónia, os beatos mártires Sadoc , presbítero, e quarenta e oito companheiros , da Ordem dos Pregadores, que, segundo a tradição, foram mortos pelos Tártaros, enquanto cantavam a «Salve, Regina», saudando na sua hora da morte a Mãe da Vida.",(† 1250),"em sandomierz, junto ao rio vístula, na polónia, os beatos mártires sadoc , presbítero, e quarenta e oito companheiros , da ordem dos pregadores, que, segundo a tradição, foram mortos pelos tártaros, enquanto cantavam a «salve, regina», saudando na sua hora da morte a mãe da vida."
9,2024-06-02,"Em Au Thi, cidade do Tonquim, São Domingos Ninh , mártir, jovem agricultor, que, recusando pisar a cruz do Salvador, foi decapitado no tempo do imperador Tu Duc.",(† 1862),"em au thi, cidade do tonquim, são domingos ninh , mártir, jovem agricultor, que, recusando pisar a cruz do salvador, foi decapitado no tempo do imperador tu duc."
1,2024-06-03,"Memória dos santos Carlos Lwanga e doze companheiros [1] , com idades entre os catorze e os trinta anos, pertencentes à corte dos jovens nobres ou ao corpo de guarda do próprio rei Mwanga, neófitos ou fervorosos seguidores da fé católica, que por se terem recusado ceder às impuras intenções do rei, uns foram decapitados e outros queimados no monte Namugongo, no Uganda. [1] São estes os seus nomes: Mbaya Tuzinde, Bruno Seronuma, Tiago Buzabaliao, Kizito, Ambrósio Kibuka, Mgagga, Gyavira, Aquiles Kiwanuka, Adolfo Ludigo Mkasa, Mukasa Kiriwamvu, Anatólio Kiriggwajjo, Lucas Banawakintu.",(† 1886),"memória dos santos carlos lwanga e doze companheiros [1] , com idades entre os catorze e os trinta anos, pertencentes à corte dos jovens nobres ou ao corpo de guarda do próprio rei mwanga, neófitos ou fervorosos seguidores da fé católica, que por se terem recusado ceder às impuras intenções do rei, uns foram decapitados e outros queimados no monte namugongo, no uganda. [1] são estes os seus nomes: mbaya tuzinde, bruno seronuma, tiago buzabaliao, kizito, ambrósio kibuka, mgagga, gyavira, aquiles kiwanuka, adolfo ludigo mkasa, mukasa kiriwamvu, anatólio kiriggwajjo, lucas banawakintu."
2,2024-06-03,"Em Cartago, na actual Tunísia, São Cecílio , presbítero, que conduziu São Cipriano à fé de Cristo.",(† s. VI),"em cartago, na actual tunísia, são cecílio , presbítero, que conduziu são cipriano à fé de cristo."
3,2024-06-03,"Em Carcassonne, na Gália Narbonense, actualmente na França, Santo Hilário , que é considerado o primeiro bispo desta cidade, no tempo em que os Godos difundiam nesta região a heresia ariana.",(† s. VI),"em carcassonne, na gália narbonense, actualmente na frança, santo hilário , que é considerado o primeiro bispo desta cidade, no tempo em que os godos difundiam nesta região a heresia ariana."
4,2024-06-03,"Em Tours, na Gália Lionense, também na actual França, Santa Clotilde , rainha, cujas orações induziram o seu esposo Clodoveu, rei dos Francos, a abraçar a fé de Cristo; depois da morte do seu esposo, recolheu-se na basílica de São Martinho, para não mais ser considerada como rainha, mas serva de Deus.",(† 545),"em tours, na gália lionense, também na actual frança, santa clotilde , rainha, cujas orações induziram o seu esposo clodoveu, rei dos francos, a abraçar a fé de cristo; depois da morte do seu esposo, recolheu-se na basílica de são martinho, para não mais ser considerada como rainha, mas serva de deus."
5,2024-06-03,"Em Meung-sur-Loire, no território de Orleães, também na actual França, São Lifardo , presbítero, que neste lugar levou vida eremítica.",(† s. VI),"em meung-sur-loire, no território de orleães, também na actual frança, são lifardo , presbítero, que neste lugar levou vida eremítica."
6,2024-06-03,"Em Anágni, na Campânia, região da Itália, Santa Oliva , virgem.",(† s. VI/VII),"em anágni, na campânia, região da itália, santa oliva , virgem."
